"1411 - Kabinet predsednika vlade, verzija: 8"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"5887"	"Sredstva za operativno delovanje"	402510	"Tekoče vzdrževanje komunikacijske opreme"	350005	"Vzdrževanje in podpora informacijskih sistemov"	35	"Vzdrževanje in podpora"	1	15000	15000	
	"5887"	"Sredstva za operativno delovanje"	402510	"Tekoče vzdrževanje komunikacijske opreme"	400024	"Ostalo"	40	"Vzdrževanje strojne opreme"	1	71000	71000	
	"5887"	"Sredstva za operativno delovanje"	402513	"Tekoče vzdrževanje druge (nelicenčne) programske opreme"	400024	"Ostalo"	40	"Vzdrževanje strojne opreme"	1	88000	88000	
	"5887"	"Sredstva za operativno delovanje"	402513	"Tekoče vzdrževanje druge (nelicenčne) programske opreme"	410001	"Vzdrževanje aplikativnih informacijskih sistemov"	41	"Vzdrževanje programske opreme"	1	4500	4500	
	"5887"	"Sredstva za operativno delovanje"	402513	"Tekoče vzdrževanje druge (nelicenčne) programske opreme"	410001	"Vzdrževanje aplikativnih informacijskih sistemov"	41	"Vzdrževanje programske opreme"	1	52000	52000	
	"5887"	"Sredstva za operativno delovanje"	402513	"Tekoče vzdrževanje druge (nelicenčne) programske opreme"	410001	"Vzdrževanje aplikativnih informacijskih sistemov"	41	"Vzdrževanje programske opreme"	1	25000	25000	
	"5887"	"Sredstva za operativno delovanje"	402513	"Tekoče vzdrževanje druge (nelicenčne) programske opreme"	410001	"Vzdrževanje aplikativnih informacijskih sistemov"	41	"Vzdrževanje programske opreme"	1	4500	4500	
	"5887"	"Sredstva za operativno delovanje"	402513	"Tekoče vzdrževanje druge (nelicenčne) programske opreme"	410001	"Vzdrževanje aplikativnih informacijskih sistemov"	41	"Vzdrževanje programske opreme"	1	4500	4500	
	"5887"	"Sredstva za operativno delovanje"	402513	"Tekoče vzdrževanje druge (nelicenčne) programske opreme"	410001	"Vzdrževanje aplikativnih informacijskih sistemov"	41	"Vzdrževanje programske opreme"	1	30000	30000	
	"5887"	"Sredstva za operativno delovanje"	402516	"Tekoče vzdrževanje operativnega informacijskega okolja"	350009	"Vzdrževanje in preizkus naprav neprekinjenega napajanja"	35	"Vzdrževanje in podpora"	1	63000	63000	
	"5887"	"Sredstva za operativno delovanje"	402516	"Tekoče vzdrževanje operativnega informacijskega okolja"	350009	"Vzdrževanje in preizkus naprav neprekinjenega napajanja"	35	"Vzdrževanje in podpora"	1	35000	35000	
	"5887"	"Sredstva za operativno delovanje"	420202	"Nakup strojne računalniške opreme"	10003	"Zmogljivejši osebni računalnik"	1	"Osebni računalniki"	40	600	24000	
	"5887"	"Sredstva za operativno delovanje"	420202	"Nakup strojne računalniške opreme"	20002	"Zmogljivejši prenosni računalnik"	2	"Prenosni računalniki"	4	3650	14600	
	"5887"	"Sredstva za operativno delovanje"	420202	"Nakup strojne računalniške opreme"	20002	"Zmogljivejši prenosni računalnik"	2	"Prenosni računalniki"	6	"583,33"	"3499,98"	
	"5887"	"Sredstva za operativno delovanje"	420202	"Nakup strojne računalniške opreme"	40005	"Ostalo"	4	"Računalniški zasloni"	80	200	16000	
	"5887"	"Sredstva za operativno delovanje"	420202	"Nakup strojne računalniške opreme"	60002	"Laserski tiskalniki"	6	"Tiskalniška oprema"	28	"357,15"	"10000,2"	
	"5887"	"Sredstva za operativno delovanje"	420222	"Nakup strežnikov in diskovnih sistemov"	190011	"Ostalo"	19	"Visoko zmogljivi in razpoložljivi eno- ali več procesorski strežniki,  ter delovne postaje posebnega pomena"	6	5000	30000	
	"5887"	"Sredstva za operativno delovanje"	420222	"Nakup strežnikov in diskovnih sistemov"	190011	"Ostalo"	19	"Visoko zmogljivi in razpoložljivi eno- ali več procesorski strežniki,  ter delovne postaje posebnega pomena"	4	3000	12000	
	"5887"	"Sredstva za operativno delovanje"	420238	"Nakup telekomunikacijske opreme"	350003	"Vzdrževanje in podpora komunikacijskega omrežja"	35	"Vzdrževanje in podpora"	2	8000	16000	
	"5887"	"Sredstva za operativno delovanje"	420238	"Nakup telekomunikacijske opreme"	350003	"Vzdrževanje in podpora komunikacijskega omrežja"	35	"Vzdrževanje in podpora"	1	20000	20000	
	"5887"	"Sredstva za operativno delovanje"	420238	"Nakup telekomunikacijske opreme"	350003	"Vzdrževanje in podpora komunikacijskega omrežja"	35	"Vzdrževanje in podpora"	1	10000	10000	
	"5887"	"Sredstva za operativno delovanje"	420238	"Nakup telekomunikacijske opreme"	350003	"Vzdrževanje in podpora komunikacijskega omrežja"	35	"Vzdrževanje in podpora"	30	500	15000	
	"5887"	"Sredstva za operativno delovanje"	420238	"Nakup telekomunikacijske opreme"	350003	"Vzdrževanje in podpora komunikacijskega omrežja"	35	"Vzdrževanje in podpora"	50	120	6000	
	"5887"	"Sredstva za operativno delovanje"	420238	"Nakup telekomunikacijske opreme"	350003	"Vzdrževanje in podpora komunikacijskega omrežja"	35	"Vzdrževanje in podpora"	1	10000	10000	
	"5887"	"Sredstva za operativno delovanje"	420238	"Nakup telekomunikacijske opreme"	350003	"Vzdrževanje in podpora komunikacijskega omrežja"	35	"Vzdrževanje in podpora"	1	200000	200000	
	"5887"	"Sredstva za operativno delovanje"	420238	"Nakup telekomunikacijske opreme"	350004	"Vzdrževanje, podpora in upravljanje komunikacijskega omrežja"	35	"Vzdrževanje in podpora"	2	84000	168000	
	"5887"	"Sredstva za operativno delovanje"	420238	"Nakup telekomunikacijske opreme"	350004	"Vzdrževanje, podpora in upravljanje komunikacijskega omrežja"	35	"Vzdrževanje in podpora"	2	10000	20000	
	"5887"	"Sredstva za operativno delovanje"	420238	"Nakup telekomunikacijske opreme"	350004	"Vzdrževanje, podpora in upravljanje komunikacijskega omrežja"	35	"Vzdrževanje in podpora"	2	40000	80000	
	"5887"	"Sredstva za operativno delovanje"	420238	"Nakup telekomunikacijske opreme"	350004	"Vzdrževanje, podpora in upravljanje komunikacijskega omrežja"	35	"Vzdrževanje in podpora"	4	30000	120000	
	"5887"	"Sredstva za operativno delovanje"	420238	"Nakup telekomunikacijske opreme"	350004	"Vzdrževanje, podpora in upravljanje komunikacijskega omrežja"	35	"Vzdrževanje in podpora"	164	"9993,9"	"1638999,6"	
	"5887"	"Sredstva za operativno delovanje"	420703	"Nakup licenčne programske opreme"	350004	"Vzdrževanje, podpora in upravljanje komunikacijskega omrežja"	35	"Vzdrževanje in podpora"	1	6000	6000	
	"5887"	"Sredstva za operativno delovanje"	420703	"Nakup licenčne programske opreme"	410007	"Ostalo"	41	"Vzdrževanje programske opreme"	1	10000	10000	
	"5887"	"Sredstva za operativno delovanje"	420704	"Nakup druge (nelicenčne) programske opreme"	410006	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	41	"Vzdrževanje programske opreme"	2	77000	154000	
	"5887"	"Sredstva za operativno delovanje"	420704	"Nakup druge (nelicenčne) programske opreme"	410006	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	41	"Vzdrževanje programske opreme"	1	50000	50000	
	"5887"	"Sredstva za operativno delovanje"	420704	"Nakup druge (nelicenčne) programske opreme"	410006	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	41	"Vzdrževanje programske opreme"	1	25000	25000	
	"5887"	"Sredstva za operativno delovanje"	420704	"Nakup druge (nelicenčne) programske opreme"	410006	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	41	"Vzdrževanje programske opreme"	1	30000	30000	
	"5887"	"Sredstva za operativno delovanje"	420704	"Nakup druge (nelicenčne) programske opreme"	410006	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	41	"Vzdrževanje programske opreme"	1	10000	10000	
	"5887"	"Sredstva za operativno delovanje"	420704	"Nakup druge (nelicenčne) programske opreme"	410006	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	41	"Vzdrževanje programske opreme"	1	30000	30000	
	"5887"	"Sredstva za operativno delovanje"	420704	"Nakup druge (nelicenčne) programske opreme"	410006	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	41	"Vzdrževanje programske opreme"	1	40000	40000	
	"5887"	"Sredstva za operativno delovanje"	420704	"Nakup druge (nelicenčne) programske opreme"	410006	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	41	"Vzdrževanje programske opreme"	1	32000	32000	
	"5887"	"Sredstva za operativno delovanje"	420704	"Nakup druge (nelicenčne) programske opreme"	410006	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	41	"Vzdrževanje programske opreme"	1	20000	20000	
	"5887"	"Sredstva za operativno delovanje"	420704	"Nakup druge (nelicenčne) programske opreme"	410006	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	41	"Vzdrževanje programske opreme"	1	10000	10000	
	"5887"	"Sredstva za operativno delovanje"	420704	"Nakup druge (nelicenčne) programske opreme"	410006	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	41	"Vzdrževanje programske opreme"	1	50000	50000	
	"5887"	"Sredstva za operativno delovanje"	420704	"Nakup druge (nelicenčne) programske opreme"	410006	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	41	"Vzdrževanje programske opreme"	1	30000	30000	
	"6551"	"Delovanje Izobraževalnega centra za zaščito in reševanje"	420703	"Nakup licenčne programske opreme"	410007	"Ostalo"	41	"Vzdrževanje programske opreme"	1	10500	10500	
"Skupaj (EUR):"	3786388											
												
"1913 - Inšpektorat RS za varstvo pred naravnimi in drugimi nesrečami, verzija: 6"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"4959"	"Oprema za redno dejavnost"	420202	"Nakup strojne računalniške opreme"	40002	"LCD zaslon 19"""	4	"Računalniški zasloni"	8	150	1200	
	"4959"	"Oprema za redno dejavnost"	420202	"Nakup strojne računalniške opreme"	60002	"Laserski tiskalniki"	6	"Tiskalniška oprema"	2	350	700	
	"4959"	"Oprema za redno dejavnost"	420202	"Nakup strojne računalniške opreme"	60002	"Laserski tiskalniki"	6	"Tiskalniška oprema"	4	250	1000	
	"4959"	"Oprema za redno dejavnost"	420202	"Nakup strojne računalniške opreme"	400001	"Osebni računalniki"	40	"Vzdrževanje strojne opreme"	20	500	10000	
	"4959"	"Oprema za redno dejavnost"	420202	"Nakup strojne računalniške opreme"	400002	"Prenosni računalniki"	40	"Vzdrževanje strojne opreme"	4	750	3000	
	"4959"	"Oprema za redno dejavnost"	420202	"Nakup strojne računalniške opreme"	400004	"Računalniški zasloni"	40	"Vzdrževanje strojne opreme"	4	200	800	
	"4959"	"Oprema za redno dejavnost"	420202	"Nakup strojne računalniške opreme"	400023	"Ostala strojna računalniška oprema"	40	"Vzdrževanje strojne opreme"	12	550	6600	
	"4959"	"Oprema za redno dejavnost"	420202	"Nakup strojne računalniške opreme"	400023	"Ostala strojna računalniška oprema"	40	"Vzdrževanje strojne opreme"	1	900	900	
	"4959"	"Oprema za redno dejavnost"	420238	"Nakup telekomunikacijske opreme"	140007	"Ostalo"	14	"Modemi"	3	100	300	
	"4959"	"Oprema za redno dejavnost"	420238	"Nakup telekomunikacijske opreme"	140007	"Ostalo"	14	"Modemi"	8	125	1000	
	"4959"	"Oprema za redno dejavnost"	420704	"Nakup druge (nelicenčne) programske opreme"	310007	"Vzdrževanje licenčne programske opreme s pravico do popravkov, varnostnih popravkov, nadgradenj in novih verzij"	31	"vzdrževanje licenc"	1	6000	6000	
	"4959"	"Oprema za redno dejavnost"	420704	"Nakup druge (nelicenčne) programske opreme"	310007	"Vzdrževanje licenčne programske opreme s pravico do popravkov, varnostnih popravkov, nadgradenj in novih verzij"	31	"vzdrževanje licenc"	1	3000	3000	
	"4959"	"Oprema za redno dejavnost"	420704	"Nakup druge (nelicenčne) programske opreme"	310007	"Vzdrževanje licenčne programske opreme s pravico do popravkov, varnostnih popravkov, nadgradenj in novih verzij"	31	"vzdrževanje licenc"	1	3000	3000	
"Skupaj (EUR):"	258600											
												
"1915 - Inšpektorat RS za obrambo, verzija: 6"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"2040"	"Sredstva za operativno delovanje"	420202	"Nakup strojne računalniške opreme"	20001	"Standardni prenosni računalnik"	2	"Prenosni računalniki"	6	800	4800	
	"2040"	"Sredstva za operativno delovanje"	420202	"Nakup strojne računalniške opreme"	40004	"LCD zaslon 23"""	4	"Računalniški zasloni"	6	250	1500	
"Skupaj (EUR):"	16000											
												
"2011 - Ministrstvo za pravosodje, verzija: 6"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"2356"	"ätudije in analize"	402007	"Računalniške storitve"	420004	"Ostalo"	42	"Zunanje izvajanje storitev"	1	20000	20000	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	402007	"Računalniške storitve"	310007	"Vzdrževanje licenčne programske opreme s pravico do popravkov, varnostnih popravkov, nadgradenj in novih verzij"	31	"vzdrževanje licenc"	2	10700	21400	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	402514	"Tekoče vzdrževanje licenčne programske opreme"	310007	"Vzdrževanje licenčne programske opreme s pravico do popravkov, varnostnih popravkov, nadgradenj in novih verzij"	31	"vzdrževanje licenc"	1	57000	57000	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	402514	"Tekoče vzdrževanje licenčne programske opreme"	350007	"Vzdrževanje in podpora pasivne mrežne opreme"	35	"Vzdrževanje in podpora"	1	17500	17500	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	402514	"Tekoče vzdrževanje licenčne programske opreme"	350008	"Vzdrževanje in podpora aktivne mrežne opreme"	35	"Vzdrževanje in podpora"	1	12000	12000	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	402514	"Tekoče vzdrževanje licenčne programske opreme"	410005	"Vzdrževanje programske opreme s pravico do popravkov, varnostnih popravkov, nadgradenj in novih verzij"	41	"Vzdrževanje programske opreme"	4	1743	6972	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	402515	"Tekoče vzdrževanje strojne računalniške opreme"	350001	"Vzdrževanje in podpora delovnih postaj"	35	"Vzdrževanje in podpora"	3	6340	19020	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	402515	"Tekoče vzdrževanje strojne računalniške opreme"	410003	"Vzdrževanje kritičnih aplikativnih sistemov"	41	"Vzdrževanje programske opreme"	1	22743	22743	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	402516	"Tekoče vzdrževanje operativnega informacijskega okolja"	350006	"Vzdrževanje in podpora naprav za neprekinjeno napajanje"	35	"Vzdrževanje in podpora"	3	1235	3705	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	402516	"Tekoče vzdrževanje operativnega informacijskega okolja"	350010	"Vzdrževanje in preizkus naprav za klimatizacijo"	35	"Vzdrževanje in podpora"	4	890	3560	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	402941	"Izdatki za izobraževanje zaposlenih z informacijskega področja"	440006	"Ostalo"	44	"Izobraževanje (na daljavo, uporabnikov, specialistično)"	1	1500	1500	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	420202	"Nakup strojne računalniške opreme"	10002	"Standardni osebni računalnik"	1	"Osebni računalniki"	50	490	24500	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	420202	"Nakup strojne računalniške opreme"	20001	"Standardni prenosni računalnik"	2	"Prenosni računalniki"	10	1200	12000	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	420202	"Nakup strojne računalniške opreme"	40001	"LCD zaslon 17"""	4	"Računalniški zasloni"	50	180	9000	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	420202	"Nakup strojne računalniške opreme"	60002	"Laserski tiskalniki"	6	"Tiskalniška oprema"	10	1400	14000	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	420222	"Nakup strežnikov in diskovnih sistemov"	190009	"Strežnik baziran na strežniških rezinah"	19	"Visoko zmogljivi in razpoložljivi eno- ali več procesorski strežniki,  ter delovne postaje posebnega pomena"	2	15375	30750	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	420222	"Nakup strežnikov in diskovnih sistemov"	200012	"Tračna knjižnica"	20	"Periferna oprema, eno ali več procesorskih strežnikov ter delovnih postaj posebnega pomena"	1	8000	8000	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	420703	"Nakup licenčne programske opreme"	310008	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	31	"vzdrževanje licenc"	1	7600	7600	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	420704	"Nakup druge (nelicenčne) programske opreme"	310002	"Dopolnjevanje informacijskih aplikativnih sistemov"	31	"vzdrževanje licenc"	1	6700	6700	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	420806	"Analize, študije in načrti z informacijskega področja"	360001	"Analiza uporabniških zahtev"	36	"Analiza, načrtovanje in dokumentiranje"	1	9700	9700	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	420806	"Analize, študije in načrti z informacijskega področja"	370001	"Razvoj IS"	37	"Razvoj in implementacija"	1	6100	6100	
	"7447"	"Investicije in investicijsko vzdrževanje državnih organov (v Ministrstvu za pravosodje)"	420806	"Analize, študije in načrti z informacijskega področja"	380001	"Ostalo"	38	"Dokumentacija"	1	3200	3200	
	"9233"	"Modernizacija pravosodnega sistema-e pravosodje - 07-13 - EU"	402007	"Računalniške storitve"	370001	"Razvoj IS"	37	"Razvoj in implementacija"	1	124809	124809	
	"9233"	"Modernizacija pravosodnega sistema-e pravosodje - 07-13 - EU"	420202	"Nakup strojne računalniške opreme"	10002	"Standardni osebni računalnik"	1	"Osebni računalniki"	47	"1589,17"	"74690,99"	
	"9233"	"Modernizacija pravosodnega sistema-e pravosodje - 07-13 - EU"	420222	"Nakup strežnikov in diskovnih sistemov"	130002	"RAS strežnik nad 100 uporabnikov"	13	"Strežniki oddaljenega dostopa"	1	515758	515758	
	"9233"	"Modernizacija pravosodnega sistema-e pravosodje - 07-13 - EU"	420248	"Nakup aktivne mrežne in komunikacijske opreme"	120007	"Ostalo"	12	"Aktivna mrežna oprema"	1	68000	68000	
	"9233"	"Modernizacija pravosodnega sistema-e pravosodje - 07-13 - EU"	420703	"Nakup licenčne programske opreme"	310008	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	31	"vzdrževanje licenc"	1	123250	123250	
	"9233"	"Modernizacija pravosodnega sistema-e pravosodje - 07-13 - EU"	420806	"Analize, študije in načrti z informacijskega področja"	360020	"Ostalo"	36	"Analiza, načrtovanje in dokumentiranje"	1	165970	165970	
	"9245"	"Modernizacija pravosodnega sistema-e pravosodje - 07-13 - slovenska udeležba"	402007	"Računalniške storitve"	370001	"Razvoj IS"	37	"Razvoj in implementacija"	1	22025	22025	
	"9245"	"Modernizacija pravosodnega sistema-e pravosodje - 07-13 - slovenska udeležba"	420202	"Nakup strojne računalniške opreme"	10002	"Standardni osebni računalnik"	1	"Osebni računalniki"	47	"280,45"	"13181,15"	
	"9245"	"Modernizacija pravosodnega sistema-e pravosodje - 07-13 - slovenska udeležba"	420222	"Nakup strežnikov in diskovnih sistemov"	130002	"RAS strežnik nad 100 uporabnikov"	13	"Strežniki oddaljenega dostopa"	1	91016	91016	
	"9245"	"Modernizacija pravosodnega sistema-e pravosodje - 07-13 - slovenska udeležba"	420248	"Nakup aktivne mrežne in komunikacijske opreme"	120007	"Ostalo"	12	"Aktivna mrežna oprema"	1	12000	12000	
	"9245"	"Modernizacija pravosodnega sistema-e pravosodje - 07-13 - slovenska udeležba"	420703	"Nakup licenčne programske opreme"	310008	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	31	"vzdrževanje licenc"	1	21750	21750	
	"9245"	"Modernizacija pravosodnega sistema-e pravosodje - 07-13 - slovenska udeležba"	420806	"Analize, študije in načrti z informacijskega področja"	360020	"Ostalo"	36	"Analiza, načrtovanje in dokumentiranje"	1	29289	29289	
	"9265"	"Mednarodna kazenska evidenca - 07-13 - EU"	402007	"Računalniške storitve"	370001	"Razvoj IS"	37	"Razvoj in implementacija"	1	83735	83735	
	"9265"	"Mednarodna kazenska evidenca - 07-13 - EU"	420202	"Nakup strojne računalniške opreme"	10002	"Standardni osebni računalnik"	1	"Osebni računalniki"	2	1050	2100	
	"9265"	"Mednarodna kazenska evidenca - 07-13 - EU"	420202	"Nakup strojne računalniške opreme"	60002	"Laserski tiskalniki"	6	"Tiskalniška oprema"	1	700	700	
	"9265"	"Mednarodna kazenska evidenca - 07-13 - EU"	420222	"Nakup strežnikov in diskovnih sistemov"	130001	"RAS strežnik do 100 uporabnikov"	13	"Strežniki oddaljenega dostopa"	1	61712	61712	
	"9265"	"Mednarodna kazenska evidenca - 07-13 - EU"	420703	"Nakup licenčne programske opreme"	310008	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	31	"vzdrževanje licenc"	1	20000	20000	
	"9265"	"Mednarodna kazenska evidenca - 07-13 - EU"	420704	"Nakup druge (nelicenčne) programske opreme"	370002	"Testiranje IS"	37	"Razvoj in implementacija"	1	21982	21982	
	"9281"	"Mednarodna kazenska evidenca - 07-13 - slovenska udeležba"	402007	"Računalniške storitve"	370001	"Razvoj IS"	37	"Razvoj in implementacija"	1	35938	35938	
	"9281"	"Mednarodna kazenska evidenca - 07-13 - slovenska udeležba"	420202	"Nakup strojne računalniške opreme"	10002	"Standardni osebni računalnik"	1	"Osebni računalniki"	2	450	900	
	"9281"	"Mednarodna kazenska evidenca - 07-13 - slovenska udeležba"	420202	"Nakup strojne računalniške opreme"	60002	"Laserski tiskalniki"	6	"Tiskalniška oprema"	1	300	300	
	"9281"	"Mednarodna kazenska evidenca - 07-13 - slovenska udeležba"	420222	"Nakup strežnikov in diskovnih sistemov"	130001	"RAS strežnik do 100 uporabnikov"	13	"Strežniki oddaljenega dostopa"	1	26487	26487	
	"9281"	"Mednarodna kazenska evidenca - 07-13 - slovenska udeležba"	420703	"Nakup licenčne programske opreme"	310008	"Nadgradnja informacijskega sistema na novo verzijo aplikacijskega ali operacijskega sistema ali sistema za upravljanje z zbirko podatkov"	31	"vzdrževanje licenc"	1	8584	8584	
	"9281"	"Mednarodna kazenska evidenca - 07-13 - slovenska udeležba"	420704	"Nakup druge (nelicenčne) programske opreme"	310002	"Dopolnjevanje informacijskih aplikativnih sistemov"	31	"vzdrževanje licenc"	1	9434	9434	
	"9488"	"Informatizacija DT/DP"	402515	"Tekoče vzdrževanje strojne računalniške opreme"	310009	"Ostalo"	31	"vzdrževanje licenc"	1	209000	209000	
	"9488"	"Informatizacija DT/DP"	402515	"Tekoče vzdrževanje strojne računalniške opreme"	350011	"Ostalo"	35	"Vzdrževanje in podpora"	9	8300	74700	
	"9488"	"Informatizacija DT/DP"	402515	"Tekoče vzdrževanje strojne računalniške opreme"	410003	"Vzdrževanje kritičnih aplikativnih sistemov"	41	"Vzdrževanje programske opreme"	2	24505	49010	
	"9488"	"Informatizacija DT/DP"	420202	"Nakup strojne računalniške opreme"	10002	"Standardni osebni računalnik"	1	"Osebni računalniki"	70	500	35000	
	"9488"	"Informatizacija DT/DP"	420202	"Nakup strojne računalniške opreme"	60002	"Laserski tiskalniki"	6	"Tiskalniška oprema"	30	1450	43500	
	"9488"	"Informatizacija DT/DP"	420222	"Nakup strežnikov in diskovnih sistemov"	190009	"Strežnik baziran na strežniških rezinah"	19	"Visoko zmogljivi in razpoložljivi eno- ali več procesorski strežniki,  ter delovne postaje posebnega pomena"	2	16000	32000	
	"9488"	"Informatizacija DT/DP"	420704	"Nakup druge (nelicenčne) programske opreme"	310002	"Dopolnjevanje informacijskih aplikativnih sistemov"	31	"vzdrževanje licenc"	1	30000	30000	
"Skupaj (EUR):"	851640											
												
"2020 - Uprava RS za izvrševanje kazenskih sankcij, verzija: 6"												
	"Proračunska postavka"		"Podkonto"		"Element"		"Namen porabe"		"Količina"	"Cena enote (EUR)"	"Vrednost (EUR)"	"Opomba"
	"2876"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	10002	"Standardni osebni računalnik"	1	"Osebni računalniki"	50	520	26000	
	"2876"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	20001	"Standardni prenosni računalnik"	2	"Prenosni računalniki"	6	1500	9000	
	"2876"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	40003	"LCD zaslon 202"	4	"Računalniški zasloni"	50	160	8000	
	"2876"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	60002	"Laserski tiskalniki"	6	"Tiskalniška oprema"	12	600	7200	
	"2876"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	60002	"Laserski tiskalniki"	6	"Tiskalniška oprema"	20	400	8000	
	"2876"	"Investicije in investicijsko vzdrževanje državnih organov"	420202	"Nakup strojne računalniške opreme"	60004	"Multifunkcijske naprave"	6	"Tiskalniška oprema"	6	700	4200	
	"2876"	"Investicije in investicijsko vzdrževanje državnih organov"	420222	"Nakup strežnikov in diskovnih sistemov"	230002	"Datotečni strežniki"	23	"Strežniki"	6	8400	50400	
	"2876"	"Investicije in investicijsko vzdrževanje državnih organov"	420222	"Nakup strežnikov in diskovnih sistemov"	240005	"Sistem NAS nad 2 TB"	24	"Sistemi za shranjevanje podatkov"	1	15000	15000	
	"2876"	"Investicije in investicijsko vzdrževanje državnih organov"	420222	"Nakup strežnikov in diskovnih sistemov"	250001	"UPS do 5 KVA"	25	"Sistemi za neprekinjeno napajanje"	4	2000	8000	
	"2876"	"Investicije in investicijsko vzdrževanje državnih organov"	420248	"Nakup aktivne mrežne in komunikacijske opreme"	120001	"L2/L3/L4 Stikalna oprema "	12	"Aktivna mrežna oprema"	72	1100	79200	
